id,title,organizationType,organization,date,location,attendees,needs,budget,description,requirements,contactEmail,url
161,Admissions - Spotlight Day,Student Organization,Not specified,2025-03-17T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, 239A, Marion Deshmukh Seminar Room, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B,&#8230;",0,Not specified,Not specified,Spotlight Days are for admitted students. Students will hear from a panel made up of current Mason students and representatives from campus partners. Academic units will offer information sessions followed by student support resources browsing. Mason Ambassadors will offer campus tours and lunch will be offered.,Not specified,Not specified,
162,Mason Hosts the NSF ART PI Meeting,Department Event,Not specified,2025-03-18T07:30:00,,0,Not specified,Not specified,,Not specified,Not specified,
163,FSO Link Up,Department Event,Not specified,2025-03-18T10:45:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(FSO+Link+Up)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
164,Azucar Bacahta 1,Department Event,Not specified,2025-03-18T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
165,Mason Hosts the NSF ART PI Meeting,Department Event,Not specified,2025-03-19T07:30:00,,0,Not specified,Not specified,,Not specified,Not specified,
166,Unit Town Hall,Department Event,Not specified,2025-03-19T09:00:00,"Johnson Center, Cinema, Fairfax Campus, The HUB, Ballroom, Fairfax Campus, Johnson Center, Bistro, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
167,Brown v. Board of Education 70th Commemoration,Department Event,Not specified,2025-03-19T17:00:00,"<a href=""http://maps.google.com/?q=38.885051,-77.101032(Brown+v.+Board+of+Education+70th+Commemoration)"" target=""_blank"" rel=""noopener"">Van Metre Hall, 125/126, Multipurpose Room, Mason Square</a>",0,Not specified,Not specified,"<span data-olk-copy-source=&quot;MessageBody&quot;>A panel event featuring members of Congress and law school deans to discuss the federal versus state role in enforcing Brown v. Board of Education&#39;s decision, and discuss the challenges and progress made over the last 70 years.",Not specified,Not specified,
168,Azucar Zouk 1,Department Event,Not specified,2025-03-19T19:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
169,Mason Hosts the NSF ART PI Meeting,Department Event,Not specified,2025-03-20T07:30:00,,0,Not specified,Not specified,,Not specified,Not specified,
170,National Small Business Federal Contracting Summit,Department Event,Not specified,2025-03-20T07:30:00,"<a href=""http://maps.google.com/?q=38.885051,-77.101032(National+Small+Business+Federal+Contracting+Summit)"" target=""_blank"" rel=""noopener"">Van Metre Hall, 125/126, Multipurpose Room, Mason Square</a>",0,Not specified,Not specified,Small Business Contracting conference with meetings and education.&#160;,Not specified,Not specified,
171,Visual Voices,Department Event,Not specified,2025-03-20T16:45:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Visual+Voices)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,Visual Voices,Not specified,Not specified,
172,Visual Voices with Adriana Monsalve,Department Event,Not specified,2025-03-20T16:45:00,Virtual Event Zoom,0,Not specified,Not specified,"Visual Voices is a lecture series hosted by Mason Exhibitions and the School of Art and Design. We look forward to seeing you in person or online on Thursday, March 20, 4:45pm to 6:30 pm. RSVP: signup.e2ma.net&#8230; Adriana Monsalve (she /they) is an artist, educator, cultural worker and collaborative publisher working (mostly) in the photobook medium. Along with Caterina Ragg, Monsalve is co-founder of Homie House Press, a radical cooperative platform that challenges the ever-changing forms of storytelling with image and text. Within her photographic practice, Monsalve is an archivist and visual communicator who produces in-depth stories on identity through the nuances in between race, gender, and immigrant adjacent experiences. As an educator, she enacts radical imagination in the classroom daily. Monsalve believes it is the first step in building worlds we can safely live in. She says, &#8220;..art maps our journey toward liberation. To realize our freedom fantasies for our larger community, we also engage with education between the practices of imagination and creation. I am certain liberation comes in communal form, because the culture of white-supremacy that we were all born into, thrives on individualism.. In contrast, imagination taps into our desires, so that we can share (education) and realize them collectively (creation).&#8221; This event will be held at the Center for the Arts Concert Hall on the GMU Fairfax campus and online via Zoom. RSVP is required to receive the link via email the day-of!",RSVP is required to receive the link via email the day-of!,Not specified,
173,CEI Luncheon,Department Event,Not specified,2025-03-21T11:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,CEI Luncheon,Not specified,Not specified,
174,Fashion Society Fashion Show,Student Organization,Not specified,2025-03-22T08:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Fashion Society will be hosting our annual fashion show to wrap up the spring semester as well as highlight the talents of students involved in the arts!,Not specified,Not specified,
175,Admissions Saturday Information Sessions,Department Event,Not specified,2025-03-22T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
176,Chlo&#233; Arnold&#8217;s Syncopated Ladies LIVE,Department Event,Not specified,2025-03-22T20:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Chlo%c3%a9+Arnold%e2%80%99s+Syncopated+Ladies+LIVE)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$48,"Founded by D.C.-native Chlo&#233; Arnold, an Emmy Award-nominated tap dancer and choreographer, and prot&#233;g&#233; of Golden Globe winner Debbie Allen, Syncopated Ladies LIVE is a spellbinding and inspirational all-female tap dance celebration of sisterhood, empowerment, rhythm, and joy. These dynamic performers are reinvigorating the artform of tap, weaving together inspiring stories, electric energy, and intricate footwork, while dancing to everything from pop and hip-hop to salsa and R&B. With viral videos that have amassed over 100 million views, Syncopated Ladies has worked with Beyonc&#233; and performed on FOX&#39;s So You Think You Can Dance , Good Morning America , and at the U.S. Open Tennis Championship. Check out this Queen Bey-approved tap dance sensation in Syncopated Ladies LIVE. This performance is appropriate for all ages. Tickets: $48, $41, $29; half-price for youth through Grade 12 Run Time: approximately 85 minutes, with no intermission 2024-25 Hylton Performing Arts Center Season Sponsor:",Not specified,Not specified,
177,Rhythm India,Department Event,Not specified,2025-03-22T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Rhythm+India)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$55,"Bollywood & Beyond With colorful costumes, dynamic music, and soulful beats, Rhythm India evokes the glitz and glamor of a blockbuster Bollywood dance sequence and the graceful movements of classical Indian dance. Rhythm India: Bollywood & Beyond is the creation of World Choreography Award Nominee and Telly Award-winning director and choreographer, Joya Kazi, and features the company dancers of Joya Kazi Unlimited as seen on screens from Bollywood to Hollywood. Kazi is a highly accomplished actress, dancer, and choreographer who has appeared in numerous Bollywood and Hollywood movies, as well as Mindy Kaling&#8217;s Netflix series Never Have I Ever and FOX&#8217;s New Girl. Celebrating the vibrancy and beauty of Indian culture, &#8220;Kazi&#8217;s artistic voice speaks to the rhythms of Indian dance&#8221; ( Next Pittsburgh ). This performance is appropriate for all ages Tickets: $55, $47, $33; half-price for youth through Grade 12 Run Time: approximately 80 minutes, plus intermission",Not specified,Not specified,
178,Mary Poppins,Student Organization,Not specified,2025-03-23T13:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Mary+Poppins)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$32,"Embark on this magical journey inspired by the beloved classic tale. Set to an enchanting score, this whimsical performance brings to life the story of Mary Poppins, the practically perfect nanny who transforms the lives of the Banks family with her charm and grace. Featuring young dancers alongside advanced performers, this ballet showcases the talent of Ordway Ballet students while celebrating themes of family, kindness, and the power of imagination. Audiences will be swept away by captivating choreography, colorful characters, and a breathtaking blend of classical ballet and imaginative storytelling. Mary Poppins is a heartwarming, high-energy production that invites audiences to believe in the extraordinary.&#160;Perfect for all ages. $32, $29, $26 adult; $30, $27, $24 senior (65+), military, and youth (12 & under)&#160; On-sale date: February 24, 2025&#160;",Not specified,Not specified,
179,Mary Poppins,Student Organization,Not specified,2025-03-23T17:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Mary+Poppins)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$32,"Embark on this magical journey inspired by the beloved classic tale. Set to an enchanting score, this whimsical performance brings to life the story of Mary Poppins, the practically perfect nanny who transforms the lives of the Banks family with her charm and grace. Featuring young dancers alongside advanced performers, this ballet showcases the talent of Ordway Ballet students while celebrating themes of family, kindness, and the power of imagination. Audiences will be swept away by captivating choreography, colorful characters, and a breathtaking blend of classical ballet and imaginative storytelling. Mary Poppins is a heartwarming, high-energy production that invites audiences to believe in the extraordinary.&#160;Perfect for all ages. $32, $29, $26 adult; $30, $27, $24 senior (65+), military, and youth (12 & under)&#160; On-sale date: February 24, 2025&#160;",Not specified,Not specified,
180,Reign Modeling Troupe Fashion Show,Student Organization,Not specified,2025-03-23T18:15:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,Event is to showcase model students.&#160;,Not specified,Not specified,
181,Keyboard Conversations&#174; with Jeffrey Siegel: Humor in Music,Department Event,Not specified,2025-03-23T19:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Keyboard+Conversations%c2%ae+with+Jeffrey+Siegel%3a+Humor+in+Music)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$50,"Siegel closes out his season of Keyboard Conversations &#174; with music to raise the spirits&#8212;and stimulate smiles! Center audiences are invited to enjoy merriment in musical tones from the enchanting works of Chopin, Mendelssohn, Beethoven, Copland, and Stravinsky. &#8220;In the best of all possible worlds, every concert would be like one of Jeffrey Siegel&#8217;s Keyboard Conversations &#174; &#8221; ( Milwaukee Journal ). This performance is appropriate for all ages. The program will conclude with a short Q&A with the audience. Tickets: $50, $43, $29; half-price for youth through Grade 12 Run Time: approximately 90 minutes, plus intermission",Not specified,Not specified,
182,New Start Summit,Department Event,Not specified,2025-03-24T08:00:00,"Van Metre Hall, 111, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 121, Classroom, Standard Fixed Seating, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
183,New Start Summit,Department Event,Not specified,2025-03-24T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
184,New Start Summit,Department Event,Not specified,2025-03-25T08:00:00,"Van Metre Hall, 111, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
185,New Start Summit,Department Event,Not specified,2025-03-25T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
186,Promotional Vendor Fair,Department Event,Not specified,2025-03-25T12:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus, Johnson Center, G29, Dewberry Hall Lobby Storage, Fairfax Campus",0,Not specified,Not specified,The Promotional Vendor Fair offers an opportunity for departments and units to visit with vendors and learn about products that could be ordered to support the university brand.,Not specified,Not specified,
187,Non-Academic Unit Town Hall,Department Event,Not specified,2025-03-25T13:30:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
188,New Start Summit,Department Event,Not specified,2025-03-25T16:00:00,"Van Metre Hall, Plaza Zone 1 - Outdoor Space, Mason Square, Van Metre Hall, Plaza Zone 2 - Outdoor Space, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
189,Azucar Bacahta 1,Department Event,Not specified,2025-03-25T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
190,New Start Summit,Department Event,Not specified,2025-03-26T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
191,New Start Summit,Department Event,Not specified,2025-03-26T08:00:00,"Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 121, Classroom, Standard Fixed Seating, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
192,MSA Iftar,Department Event,Not specified,2025-03-26T15:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Break your fast with the MSA!&#160;,Not specified,Not specified,
193,Azucar Zouk 1,Department Event,Not specified,2025-03-26T19:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
194,New Start Summit,Department Event,Not specified,2025-03-27T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
195,New Start Summit,Department Event,Not specified,2025-03-27T08:00:00,"Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 121, Classroom, Standard Fixed Seating, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
196,New Start Summit,Department Event,Not specified,2025-03-27T16:00:00,"Van Metre Hall, Plaza Zone 1 - Outdoor Space, Mason Square, Van Metre Hall, Plaza Zone 2 - Outdoor Space, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
197,International Week 2025,Department Event,Not specified,2025-03-28T08:00:00,"Johnson Center, G19, Gold Room, Fairfax Campus, Johnson Center, Bistro, Fairfax Campus, Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
198,New Start Summit,Department Event,Not specified,2025-03-28T08:00:00,"Van Metre Hall, 120, Classroom, Standard Fixed Seating, Mason Square, Van Metre Hall, 121, Classroom, Standard Fixed Seating, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
199,New Start Summit,Department Event,Not specified,2025-03-28T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square",0,Not specified,Not specified,New Start Summit hosted by Alpha Education&#160;,Not specified,Not specified,
200,Education - Frog &amp; Toad,Department Event,Not specified,2025-03-28T10:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Education+-+Frog+%26+Toad)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
